Surname,Given Name,Middle Name,Chinese Name,Sex,Date of Birth,Current Nationality,Former Nationality,Place of Birth City,Place of Birth Province,Place of Birth Country,ID Number,Passport Type,Passport Number,Passport Issue Date,Passport Issue Place,Passport Expiry Date,Occupation,Employer Name,Employer Phone,Employer Address,Residential Address,Phone Number,Email,Emergency Contact Name,Emergency Contact Phone,Emergency Contact Relationship,Visa Type,Number of Entries,Intended Entry Date,Duration of Stay,Purpose of Visit,Places to Visit,Hotel Name,Hotel Address,Inviter Name,Inviter Phone,Inviter Address,Inviter Relationship,Previous China Visa,Previous China Visit Date,Previous Visa Number,Countries Visited 30 Days,Criminal Record,Health Conditions
Smith,John,Michael,,Male,5/15/1990,American,,New York,New York,USA,,Ordinary,AB1234567,3/1/2020,New York,3/1/2030,Company Employee,Tech Corp Inc,2125551234,123 Business St New York NY,456 Home Ave Apt 2B New York NY 10001,2125555678,john.smith@email.com,Jane Smith,2125559999,Wife,L - Tourist,Single,4/15/2026,30,Tourism and sightseeing,Beijing Shanghai Xi'an,Hilton Beijing,8 Wangfujing Street Beijing,,No,,No,No,,No,No
Johnson,Emily,Rose,,Female,8/22/1985,British,,London,England,UK,,Ordinary,CDE789012,6/15/2019,London,6/15/2029,Teacher/Professor,Oxford University,4420711234,University Road Oxford,10 Park Lane London W1K 7AA,4479111234,emily.johnson@email.com,Robert Johnson,4479121234,Husband,M - Business,Double,5/1/2026,60,Business meetings and trade fair,Shanghai Guangzhou,Park Hyatt Shanghai,100 Century Avenue Shanghai,Shanghai Trading Co,8621121234,88 Nanjing Road Shanghai,Business Partner,Yes,3/15/2023,CN987654,No,No,
Garcia,Carlos,Luis,,Male,12/3/1988,Spanish,,Madrid,Community of Madrid,Spain,,Ordinary,ES5678901,9/10/2021,Madrid,9/10/2031,Software Engineer,Digital Solutions Ltd,3491234567,Calle Principal 45 Madrid,Paseo del Prado 28 Madrid,3499876543,carlos.garcia@email.com,Maria Garcia,3491111111,Sister,L - Tourist,Single,6/20/2026,21,Tourism and sightseeing,Chengdu Guilin,Sheraton Chengdu,88 East Avenue Chengdu,,No,,No,No,,No,No
Chen,Lisa,Ann,,Female,2/14/1992,Canadian,,Toronto,Ontario,Canada,,Ordinary,FC1234567,12/5/2022,Toronto,12/5/2032,Marketing Manager,Global Media Inc,4165551234,100 Queen Street West Toronto,250 Bloor Street West Toronto M5S 1V8,4165559876,lisa.chen@email.com,David Chen,4165558888,Brother,M - Business,Single,7/10/2026,45,Business development,Shanghai Suzhou,Intercontinental Shanghai,500 Nanpan Road Shanghai,Global Media Asia,8621123456,888 Huaihai Road Shanghai,Business Partner,No,,No,Yes,Mild hypertension,
Mueller,Hans,Peter,,Male,7/8/1987,German,,Berlin,Berlin,Germany,,Ordinary,DE9876543,4/20/2021,Berlin,4/20/2031,Manufacturing Director,Siemens AG,493012345678,Wittelsbacherplatz 2 Munich,Prinzregentenstrasse 100 Munich,498901234567,hans.mueller@email.com,Greta Mueller,4989123456,Wife,F - Work,Multiple,8/1/2026,180,Work and business establishment,Beijing Shanghai,Kempinski Hotel Beijing,50 Liangmaqiao Road Beijing,Siemens China,8610-87788888,888 Century Avenue Shanghai,Employer,Yes,6/10/2022,CN456789,No,No,
Rossi,Antonio,Marco,,Male,11/25/1980,Italian,,Rome,Lazio,Italy,,Ordinary,IT1122334,7/15/2020,Rome,7/15/2030,Architect,Renzo Piano Associates,390612345678,Via Nazionale 50 Rome,Viale delle Terme 20 Rome,390612223344,antonio.rossi@email.com,Isabella Rossi,390612334455,Sister,L - Tourist,Single,5/5/2026,28,Tourism and sightseeing,Xi'an Hangzhou,InterContinental Hangzhou,2 Yuehu Road Hangzhou,,No,,No,No,,No,No
Kim,Min,Jae,,Male,3/19/1995,South Korean,,Seoul,Seoul,South Korea,,Ordinary,KR5566778,10/30/2022,Seoul,10/30/2032,Business Consultant,Asia Partners Co,82212345678,Business Center 11F Seoul,Gangnam District Seoul,82210987654,min.jae.kim@email.com,Lee Park,82213334444,Friend,M - Business,Double,6/15/2026,30,Business meetings,Shanghai Beijing,Pudong Shangri-La Shanghai,33 Century Avenue Shanghai,Asia Partners Shanghai,862158888888,999 Lujiazui Ring Road Shanghai,Business Associate,Yes,1/20/2024,CN234567,No,No,
Muller,Sophie,Marie,,Female,9/7/1991,French,,Paris,Île-de-France,France,,Ordinary,FR7788990,8/12/2021,Paris,8/12/2031,Fashion Designer,Atelier Couture Paris,33123456789,Avenue Montaigne 50 Paris,Rue de Rivoli 100 Paris,33612345678,sophie.muller@email.com,Jean Muller,33612223344,Husband,L - Tourist,Single,7/25/2026,21,Tourism and cultural events,Beijing Shanghai Suzhou,Mandarin Oriental Shanghai,558 Nanjing Road East Shanghai,,No,,No,No,,No,No
Thompson,James,William,,Male,4/2/1986,Australian,,Sydney,New South Wales,Australia,,Ordinary,AU1234567,5/18/2020,Sydney,5/18/2030,Petroleum Engineer,Shell Energy Australia,610287654321,201 Elizabeth Street Sydney,Level 12 Market Street Sydney NSW 2000,610287654321,james.thompson@email.com,Susan Thompson,610287654322,Wife,M - Business,Single,8/10/2026,60,Business meetings and industry conference,Shanghai Beijing,China World Summit Wing,1 Jianguomenwai Avenue Beijing,Shell Energy China,8610-85957000,8 Jianguomenwai Street Beijing,Employer,No,,No,No,,No
Santos,Maria,Lucia,,Female,6/30/1989,Brazilian,,Rio de Janeiro,Rio de Janeiro,Brazil,,Ordinary,BR9988776,11/5/2021,Rio de Janeiro,11/5/2031,Finance Analyst,Banco Santander Brazil,551121234567,Avenida Paulista 500 São Paulo,Rua das Flores 123 Rio de Janeiro RJ 20000,5521987654321,maria.santos@email.com,João Santos,5521888777666,Father,L - Tourist,Single,9/1/2026,42,Tourism and sightseeing,Guangzhou Shenzhen,Ritz Carlton Guangzhou,6 Linhe Road East Guangzhou,,No,,No,No,,No,No
Kovacs,Peter,Janos,,Male,10/12/1984,Hungarian,,Budapest,Budapest,Hungary,,Ordinary,HU5544332,2/28/2022,Budapest,2/28/2032,Civil Engineer,Budapest Construction Works,361234567890,Pesti Barnabas utca 50 Budapest,Andrassy ut 60 Budapest,361666888999,peter.kovacs@email.com,Anna Kovacs,361333444555,Sister,M - Business,Single,7/15/2026,30,Business consulting,Shanghai Wuhan,Marriott Shanghai,555 Nanjing Road East Shanghai,Budapest Construction China,862165888888,888 Century Avenue Shanghai,Business Partner,No,,No,No,,No
